Caso;s1;s2;Tiempo (microsegundos);Respuesta
1;gt;hi;1;4
1;gt;hi;0;4
1;gt;hi;0;4
1;gt;hi;0;4
1;gt;hi;0;4
1;gt;hi;0;4
1;gt;hi;0;4
1;gt;hi;0;4
1;gt;hi;0;4
1;gt;hi;0;4
2;ec;mf;0;4
2;ec;mf;0;4
2;ec;mf;0;4
2;ec;mf;0;4
2;ec;mf;0;4
2;ec;mf;0;4
2;ec;mf;0;4
2;ec;mf;0;4
2;ec;mf;0;4
2;ec;mf;0;4
3;go;nt;0;4
3;go;nt;0;4
3;go;nt;0;4
3;go;nt;0;4
3;go;nt;0;4
3;go;nt;0;4
3;go;nt;0;4
3;go;nt;1;4
3;go;nt;0;4
3;go;nt;0;4
4;ex;gk;0;4
4;ex;gk;0;4
4;ex;gk;0;4
4;ex;gk;0;4
4;ex;gk;0;4
4;ex;gk;0;4
4;ex;gk;0;4
4;ex;gk;0;4
4;ex;gk;1;4
4;ex;gk;0;4
5;lp;xg;0;4
5;lp;xg;0;4
5;lp;xg;0;4
5;lp;xg;0;4
5;lp;xg;0;4
5;lp;xg;0;4
5;lp;xg;0;4
5;lp;xg;0;4
5;lp;xg;0;4
5;lp;xg;0;4
6;vr;ku;0;4
6;vr;ku;0;4
6;vr;ku;0;4
6;vr;ku;0;4
6;vr;ku;0;4
6;vr;ku;0;4
6;vr;ku;0;4
6;vr;ku;0;4
6;vr;ku;0;4
6;vr;ku;0;4
7;if;hp;0;4
7;if;hp;0;4
7;if;hp;0;4
7;if;hp;0;4
7;if;hp;0;4
7;if;hp;0;4
7;if;hp;0;4
7;if;hp;0;4
7;if;hp;0;4
7;if;hp;0;4
8;pa;yy;0;4
8;pa;yy;0;4
8;pa;yy;0;4
8;pa;yy;0;4
8;pa;yy;0;4
8;pa;yy;0;4
8;pa;yy;0;4
8;pa;yy;0;4
8;pa;yy;0;4
8;pa;yy;0;4
9;sm;es;0;2
9;sm;es;0;2
9;sm;es;0;2
9;sm;es;0;2
9;sm;es;0;2
9;sm;es;0;2
9;sm;es;0;2
9;sm;es;0;2
9;sm;es;0;2
9;sm;es;0;2
10;ap;eg;0;4
10;ap;eg;0;4
10;ap;eg;0;4
10;ap;eg;0;4
10;ap;eg;0;4
10;ap;eg;0;4
10;ap;eg;0;4
